OID_,station,line,line_1,POINT_X,POINT_Y
0,Kipling,Bloor-Danforth,2.000000000000000,-79.536179398000002,43.637142249000000
1,Islington,Bloor-Danforth,2.000000000000000,-79.523970386000002,43.645471587000003
2,Royal York,Bloor-Danforth,2.000000000000000,-79.511485100000002,43.648068731000002
3,Old Mill,Bloor-Danforth,2.000000000000000,-79.495150479000003,43.649996559999998
4,Jane,Bloor-Danforth,2.000000000000000,-79.484647898999995,43.649751848999998
5,Runnymede,Bloor-Danforth,2.000000000000000,-79.476740393000000,43.651750604000000
6,High Park,Bloor-Danforth,2.000000000000000,-79.466011721000001,43.654103444000000
7,Keele,Bloor-Danforth,2.000000000000000,-79.460276071999999,43.655377717000000
8,Dundas West,Bloor-Danforth,2.000000000000000,-79.452665671000005,43.657117263000004
9,Lansdowne,Bloor-Danforth,2.000000000000000,-79.442988936000006,43.659060095999997
10,Dufferin,Bloor-Danforth,2.000000000000000,-79.435516832999994,43.660191777000001
11,Ossington,Bloor-Danforth,2.000000000000000,-79.425870864999993,43.662438965000000
12,Christie,Bloor-Danforth,2.000000000000000,-79.418760827000000,43.663990095999999
13,Bathurst,Bloor-Danforth,2.000000000000000,-79.411490357000005,43.665725238000000
14,Spadina,Bloor-Danforth,2.000000000000000,-79.404053464000000,43.667271999000000
15,St George,Yonge-University,1.000000000000000,-79.397849346000001,43.668584617999997
16,Bay,Bloor-Danforth,2.000000000000000,-79.390213766000002,43.670138305000002
17,Bloor-Yonge,Yonge-University,1.000000000000000,-79.385945190000001,43.670985406000000
18,Sherbourne,Bloor-Danforth,2.000000000000000,-79.377134498999993,43.672095116999998
19,Castle Frank,Bloor-Danforth,2.000000000000000,-79.368305359999994,43.674104618999998
20,Broadview,Bloor-Danforth,2.000000000000000,-79.358879712000004,43.676784224999999
21,Chester,Bloor-Danforth,2.000000000000000,-79.352501598000003,43.678301742999999
22,Pape,Bloor-Danforth,2.000000000000000,-79.345169803000005,43.679744802999998
23,Donlands,Bloor-Danforth,2.000000000000000,-79.337800388000005,43.681180597000001
24,Greenwood,Bloor-Danforth,2.000000000000000,-79.330241533000006,43.682819637999998
25,Coxwell,Bloor-Danforth,2.000000000000000,-79.324124362999996,43.684123636000002
26,Woodbine,Bloor-Danforth,2.000000000000000,-79.313208455999998,43.686505466000000
27,Main,Bloor-Danforth,2.000000000000000,-79.302409245999996,43.688875715000002
28,Victoria Park,Bloor-Danforth,2.000000000000000,-79.289859759999999,43.694450529999997
29,Warden,Bloor-Danforth,2.000000000000000,-79.278911528999998,43.712536503999999
30,Kennedy,Bloor-Danforth,2.000000000000000,-79.264538997000002,43.732246740999997
31,Lawrence East,Scarborough,3.000000000000000,-79.270371190000006,43.750437505999997
32,Ellesmere,Scarborough,3.000000000000000,-79.276496296999994,43.766768861999999
33,Midland,Scarborough,3.000000000000000,-79.272022031999995,43.770434131000002
34,Scarborough Centre,Scarborough,3.000000000000000,-79.257450966999997,43.774528386999997
35,McCowan,Scarborough,3.000000000000000,-79.251732814999997,43.774923717000000
36,Sheppard West,Yonge-University,1.000000000000000,-79.462584555999996,43.750410786000003
37,Wilson,Yonge-University,1.000000000000000,-79.450119364000003,43.733997596999998
38,Yorkdale,Yonge-University,1.000000000000000,-79.447865438999997,43.725026597000003
39,Lawrence West,Yonge-University,1.000000000000000,-79.444403407999999,43.716018577000000
40,Glencairn,Yonge-University,1.000000000000000,-79.441396374999997,43.709494630000002
41,Eglinton West,Yonge-University,1.000000000000000,-79.436190432000004,43.698722631000003
