date,line,time,day,location,incident,min_delay,min_gap,bound,day_type,rush_type,season,is_holiday,Year,Month,Day,Max Temp (°C),Min Temp (°C),Total Precip (mm),Snow on Grnd (cm)
2024-01-01,501,14:26:00,Monday,YORK AND WELLINGTON,Security,5,15,N,Weekday,none,Winter,1,2024,01,01,-0.7,-3.1,0.1,2
2024-01-01,501,15:27:00,Monday,QUEEN AND SACKVILLE,Emergency Services,20,30,W,Weekday,evening,Winter,1,2024,01,01,-0.7,-3.1,0.1,2
2024-01-01,501,15:48:00,Monday,WOLSELEY LOOP,Mechanical,6,12,W,Weekday,evening,Winter,1,2024,01,01,-0.7,-3.1,0.1,2
2024-01-01,501,17:22:00,Monday,QUEEN AND JOHN,Mechanical,6,12,W,Weekday,evening,Winter,1,2024,01,01,-0.7,-3.1,0.1,2
2024-01-01,505,17:47:00,Monday,DUNDAS AND HOWARD PARK,Cleaning - Unsanitary,10,20,N,Weekday,evening,Winter,1,2024,01,01,-0.7,-3.1,0.1,2
2024-01-01,505,17:53:00,Monday,LANSDOWNE LOOP,Emergency Services,10,20,NA,Weekday,evening,Winter,1,2024,01,01,-0.7,-3.1,0.1,2
2024-01-01,504,18:26:00,Monday,SUNNYSIDE LOOP,Security,10,20,NA,Weekday,evening,Winter,1,2024,01,01,-0.7,-3.1,0.1,2
2024-01-01,510,18:41:00,Monday,QUEENS QUAY AND LOWER,Operations,3,7,W,Weekday,evening,Winter,1,2024,01,01,-0.7,-3.1,0.1,2
2024-01-01,504,18:45:00,Monday,BROADVIEW AND WOLFREY,Mechanical,9,18,W,Weekday,evening,Winter,1,2024,01,01,-0.7,-3.1,0.1,2
2024-01-01,509,20:17:00,Monday,QUEENS QUAY LOOP - 21,Security,10,20,W,Weekday,none,Winter,1,2024,01,01,-0.7,-3.1,0.1,2
2024-01-01,510,20:58:00,Monday,UNION STREETCAR TUNNEL,Security,12,22,NA,Weekday,none,Winter,1,2024,01,01,-0.7,-3.1,0.1,2
2024-01-01,509,21:09:00,Monday,UNION STATION,Diversion,7,17,NA,Weekday,none,Winter,1,2024,01,01,-0.7,-3.1,0.1,2
2024-01-01,505,21:14:00,Monday,DUNDAS AND STERLING,Diversion,18,28,W,Weekday,none,Winter,1,2024,01,01,-0.7,-3.1,0.1,2
2024-01-01,506,21:22:00,Monday,DUNDAS AND STERLING,Diversion,8,18,NA,Weekday,none,Winter,1,2024,01,01,-0.7,-3.1,0.1,2
2024-01-01,506,22:26:00,Monday,COLLEGE AND BAY,Cleaning - Unsanitary,10,20,E,Weekday,none,Winter,1,2024,01,01,-0.7,-3.1,0.1,2
2024-01-01,507,22:41:00,Monday,QUEEN AND DOWLING,Diversion,31,41,E,Weekday,none,Winter,1,2024,01,01,-0.7,-3.1,0.1,2
2024-01-01,504,23:16:00,Monday,THE QUEENSWAY AND KING,Held By,7,17,W,Weekday,none,Winter,1,2024,01,01,-0.7,-3.1,0.1,2
2024-01-01,509,00:08:00,Monday,UNION STATION,Emergency Services,0,0,NA,Weekday,none,Winter,1,2024,01,01,-0.7,-3.1,0.1,2
2024-01-01,510,00:10:00,Monday,SPADINA AND BREMNER,Cleaning - Unsanitary,10,20,N,Weekday,none,Winter,1,2024,01,01,-0.7,-3.1,0.1,2
2024-01-01,512,00:47:00,Monday,LANSDOWNE AND ST CLAIR,General Delay,5,15,E,Weekday,none,Winter,1,2024,01,01,-0.7,-3.1,0.1,2
2024-01-01,501,00:49:00,Monday,RICHMOND AND CHURCH,Emergency Services,10,20,W,Weekday,none,Winter,1,2024,01,01,-0.7,-3.1,0.1,2
2024-01-01,509,01:42:00,Monday,EXHIBITION LOOP,Emergency Services,10,20,E,Weekday,none,Winter,1,2024,01,01,-0.7,-3.1,0.1,2
2024-01-01,504,01:48:00,Monday,DUNDAS AND BLOOR,Operations,8,18,E,Weekday,none,Winter,1,2024,01,01,-0.7,-3.1,0.1,2
2024-01-01,504,01:50:00,Monday,KINGSTON RD LOOP,Security,17,0,E,Weekday,none,Winter,1,2024,01,01,-0.7,-3.1,0.1,2
2024-01-01,509,01:59:00,Monday,KINGSTON RD LOOP,Security,17,0,E,Weekday,none,Winter,1,2024,01,01,-0.7,-3.1,0.1,2
